index,tag,mask_name,mask_style,mask_path,distance,gxy,z0,ox,oy,splitn,spec,png,exr,duration_sec,attempts
60,b20260409_033055_060_asymmetric_blades,mask_60_asymmetric_blades,asymmetric_blades,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_60_asymmetric_blades.png,1.816261e-06,1.5436e-08,9.261968e-06,1024,1024,11,amber,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_060_asymmetric_blades_9270660312.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_060_asymmetric_blades_9270660312.exr,22.094,1
61,b20260409_033055_061_multi_slit,mask_61_multi_slit,multi_slit,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_61_multi_slit.png,1.233792e-06,2.2346e-08,8.790299e-06,1024,1024,11,teal,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_061_multi_slit_9251144920.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_061_multi_slit_9251144920.exr,6.447,1
62,b20260409_033055_062_radial_spokes,mask_62_radial_spokes,radial_spokes,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_62_radial_spokes.png,1.808477e-06,2.6678e-08,4.741052e-06,1024,1024,14,cyan,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_062_radial_spokes_6923631396.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_062_radial_spokes_6923631396.exr,12.686,1
63,b20260409_033055_063_star_polygon,mask_63_star_polygon,star_polygon,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_63_star_polygon.png,1.47907e-06,3.5209e-08,4.451386e-06,1024,1024,12,green,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_063_star_polygon_1779028439.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_063_star_polygon_1779028439.exr,20.936,1
64,b20260409_033055_064_ring_gap,mask_64_ring_gap,ring_gap,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_64_ring_gap.png,9.11356e-07,1.4556e-08,8.650953e-06,1024,1024,14,blue_soft,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_064_ring_gap_0281372416.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_064_ring_gap_0281372416.exr,20.811,1
65,b20260409_033055_065_polygon_aperture,mask_65_polygon_aperture,polygon_aperture,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_65_polygon_aperture.png,1.755357e-06,3.6594e-08,1.0080636e-05,1024,1024,9,purple,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_065_polygon_aperture_4122826213.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_065_polygon_aperture_4122826213.exr,20.755,1
66,b20260409_033055_066_crescent,mask_66_crescent,crescent,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_66_crescent.png,1.02791e-06,1.3363e-08,1.009219e-05,1024,1024,14,white,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_066_crescent_1781519208.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_066_crescent_1781519208.exr,16.09,1
67,b20260409_033055_067_scratched_disc,mask_67_scratched_disc,scratched_disc,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_67_scratched_disc.png,8.52178e-07,1.8064e-08,4.624642e-06,1024,1024,10,warm,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_067_scratched_disc_3913615772.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_067_scratched_disc_3913615772.exr,35.865,2
68,b20260409_033055_068_grid,mask_68_grid,grid,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_68_grid.png,1.469421e-06,2.6643e-08,6.388484e-06,1024,1024,13,cool,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_068_grid_4471903505.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_068_grid_4471903505.exr,20.857,1
69,b20260409_033055_069_offset_occlusion,mask_69_offset_occlusion,offset_occlusion,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_69_offset_occlusion.png,1.768577e-06,1.6164e-08,1.1437669e-05,1024,1024,10,daylight,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_069_offset_occlusion_4628370913.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_069_offset_occlusion_4628370913.exr,21.855,1
